Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Khris Davis,OAK,57,215,30,52,5,0,14,36,0,0,19,63,0,0,1,.242,.306,.460,.766
Nelson Cruz,MIN,44,162,26,45,9,0,12,31,0,0,19,54,0,1,3,.278,.362,.556,.918
Shohei Ohtani,LAA,33,129,18,35,2,1,8,27,2,1,14,37,0,2,1,.271,.342,.488,.830
Kendrys Morales,OAK,34,108,9,22,1,1,1,7,0,0,14,20,0,1,3,.204,.310,.259,.569
Jose Rondon,CWS,37,102,8,22,3,0,2,5,0,0,7,29,0,0,1,.216,.273,.304,.577
Kendrys Morales,NYY,19,62,7,11,1,0,1,5,0,0,12,6,0,0,1,.177,.320,.242,.562
