Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Taylor Davis,CHC,6,15,2,3,0,0,1,4,0,0,2,4,0,0,0,.200,.294,.400,.694
Kyle Higashioka,NYY,4,15,2,3,2,0,0,1,0,0,0,6,0,1,0,.200,.188,.333,.521
Rocky Gale,LAD,5,15,1,2,0,0,0,0,0,0,0,7,0,0,0,.133,.133,.133,.266
Alex Jackson,ATL,3,10,0,0,0,0,0,0,0,0,1,3,0,0,0,.000,.091,.000,.091
Seby Zavala,CWS,3,9,1,1,0,0,0,0,0,0,0,7,0,0,0,.111,.111,.111,.222
Andrew Knizner,STL,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Nick Ciuffo,TB,3,6,0,1,0,0,0,0,0,0,0,3,0,0,0,.167,.167,.167,.334
Eric Haase,CLE,2,6,0,0,0,0,0,0,0,0,1,4,0,0,0,.000,.143,.000,.143
Jacob Nottingham,MIL,6,5,1,2,0,0,1,4,0,0,0,2,0,0,0,.400,.400,1.000,1.400
Anthony Bemboom,TB,3,5,0,2,1,0,0,1,0,0,0,2,0,0,0,.400,.400,.600,1.000
Beau Taylor,OAK,2,4,0,1,0,0,0,0,0,0,1,2,0,0,1,.250,.500,.250,.750
David Freitas,SEA,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,.000,.250,.000,.250
Travis d'Arnaud,LAD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
