Player,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Whit Merrifield,KC,70,291,48,88,18,7,8,32,10,5,19,56,0,1,3,.302,.350,.495,.845
Ketel Marte,ARI,70,286,47,80,14,3,19,49,3,0,22,49,0,2,2,.280,.333,.549,.882
Ozzie Albies,ATL,71,280,42,77,13,3,10,33,5,2,27,48,0,2,2,.275,.341,.450,.791
Jonathan Villar,BAL,70,269,38,67,17,1,7,27,12,4,22,69,2,2,2,.249,.308,.398,.706
Starlin Castro,MIA,68,269,19,62,6,1,4,28,1,0,13,44,0,5,0,.230,.261,.305,.566
DJ LeMahieu,NYY,64,261,43,81,16,0,7,41,3,0,18,39,1,3,2,.310,.356,.452,.808
Cesar Hernandez,PHI,69,257,30,68,15,3,7,33,4,1,20,37,0,3,4,.265,.324,.428,.752
Yoan Moncada,CWS,63,251,38,74,13,2,12,39,5,3,19,76,1,1,2,.295,.348,.506,.854
Adam Frazier,PIT,64,248,35,65,12,4,3,16,2,2,18,35,2,0,4,.262,.322,.379,.701
David Fletcher,LAA,66,231,33,71,12,2,5,25,5,2,19,17,0,0,0,.307,.360,.442,.802
Niko Goodrum,DET,62,230,36,54,14,3,6,18,7,2,27,72,0,2,1,.235,.315,.400,.715
Brandon Lowe,TB,62,229,34,66,15,1,14,43,3,0,17,84,0,1,3,.288,.344,.546,.890
Kolten Wong,STL,68,224,28,56,10,1,7,30,13,0,26,41,1,3,5,.250,.337,.397,.734
Joe Panik,SF,61,223,24,55,12,0,3,20,3,2,23,28,0,3,2,.247,.319,.341,.660
Enrique Hernandez,LAD,65,222,26,47,6,1,10,33,0,0,20,59,0,3,2,.212,.279,.383,.662
Jonathan Schoop,MIN,60,221,34,55,15,0,12,33,1,0,9,53,0,0,8,.249,.303,.480,.783
Asdrubal Cabrera,TEX,62,219,33,55,10,0,10,41,3,0,27,52,0,2,2,.251,.336,.434,.770
Brian Dozier,WAS,67,219,26,50,10,0,10,24,1,1,25,63,0,1,3,.228,.315,.411,.726
Jeff McNeil,NYM,56,209,26,70,15,1,3,20,0,4,16,26,0,0,9,.335,.406,.459,.865
Rougned Odor,TEX,56,207,31,38,10,0,8,34,7,5,22,70,1,0,1,.184,.265,.348,.613
Ian Kinsler,SD,59,196,23,45,11,0,8,18,2,3,15,34,0,0,2,.230,.291,.408,.699
Jason Kipnis,CLE,49,188,12,39,10,0,2,15,4,1,15,37,2,2,0,.207,.263,.293,.556
Yolmer Sanchez,CWS,61,185,20,47,6,0,1,16,2,3,20,46,2,1,3,.254,.335,.303,.638
David Bote,CHC,62,176,27,49,13,0,8,32,1,1,20,49,0,1,2,.278,.357,.489,.846
Dee Gordon,SEA,49,176,19,49,6,1,3,20,13,2,8,25,2,4,1,.278,.307,.375,.682
Daniel Robertson,TB,58,176,22,36,8,0,2,15,1,1,22,50,0,0,5,.205,.310,.284,.594
Robinson Cano,NYM,46,172,15,41,13,0,3,14,0,0,10,36,0,0,1,.238,.284,.366,.650
Howie Kendrick,WAS,58,167,35,54,10,0,12,41,1,1,13,26,0,5,3,.323,.372,.599,.971
Logan Forsythe,TEX,50,160,23,44,14,1,3,28,1,0,27,48,0,1,2,.275,.384,.431,.815
Chad Pinder,OAK,53,160,23,40,10,0,5,19,0,1,8,37,0,2,3,.250,.295,.406,.701
Daniel Murphy,COL,45,157,17,43,13,1,5,37,1,0,12,25,0,2,0,.274,.322,.465,.787
Travis Shaw,MIL,47,156,15,26,5,0,5,11,0,0,23,59,0,0,2,.167,.282,.295,.577
Eric Sogard,TOR,42,155,23,44,8,1,6,17,4,0,15,26,3,2,1,.284,.347,.465,.812
Nick Senzel,CIN,37,154,24,41,11,2,6,16,5,3,14,40,0,1,0,.266,.325,.481,.806
Neil Walker,MIA,51,149,12,44,10,0,4,14,2,0,18,35,0,0,1,.295,.375,.443,.818
Jose Altuve,HOU,39,144,21,35,6,0,9,21,1,2,18,25,0,1,1,.243,.329,.472,.801
Stevie Wilkerson,BAL,43,144,16,31,6,0,5,15,1,2,8,50,0,0,2,.215,.266,.361,.627
Daniel Descalso,CHC,56,137,17,26,5,1,2,14,1,1,19,43,1,1,0,.190,.287,.285,.572
Josh Harrison,DET,36,136,10,24,7,1,1,8,4,2,6,26,0,2,2,.176,.219,.265,.484
Greg Garcia,SD,53,133,23,32,9,0,2,13,0,1,18,36,0,1,0,.241,.329,.353,.682
Hernan Perez,MIL,51,128,19,33,6,0,5,11,4,1,8,37,0,1,0,.258,.299,.422,.721
Eduardo Nunez,BOS,43,123,10,26,3,0,2,15,5,1,4,22,1,1,0,.211,.234,.285,.519
Ildemaro Vargas,ARI,46,123,16,31,5,0,4,12,1,0,5,17,0,0,0,.252,.281,.390,.671
Wilmer Difo,WAS,39,121,14,28,2,0,2,7,0,1,12,27,1,0,0,.231,.301,.298,.599
Luis Rengifo,LAA,34,117,16,26,6,1,1,10,0,1,12,36,1,3,1,.222,.293,.316,.609
Lourdes Gurriel,TOR,33,115,16,31,9,1,6,19,2,1,8,32,0,0,2,.270,.328,.522,.850
Nicky Lopez,KC,27,109,11,23,5,1,1,5,1,0,6,21,0,0,0,.211,.252,.303,.555
Gordon Beckham,DET,38,99,14,23,7,2,3,5,2,1,11,33,0,0,4,.232,.333,.434,.767
Ben Zobrist,CHC,26,83,12,20,1,0,0,10,0,0,14,12,0,2,0,.241,.343,.253,.596
Yangervis Solarte,SF,28,73,9,15,5,0,1,7,0,0,4,16,1,0,0,.205,.247,.315,.562
Dawel Lugo,DET,23,72,5,16,0,3,1,7,0,0,1,14,0,1,1,.222,.240,.347,.587
Shed Long,SEA,19,69,9,16,7,0,1,5,3,1,10,20,0,0,0,.232,.329,.377,.706
Tim Locastro,ARI,31,69,15,16,3,2,0,7,5,0,7,11,0,0,10,.232,.384,.333,.717
Brendan Rodgers,COL,21,65,7,16,2,0,0,7,0,0,4,22,0,0,1,.246,.300,.277,.577
Brock Holt,BOS,20,64,12,20,2,1,1,11,1,0,5,17,0,0,2,.313,.380,.422,.802
Keston Hiura,MIL,17,64,8,18,1,0,5,9,1,0,3,23,0,0,2,.281,.333,.531,.864
Jon Berti,MIA,22,59,12,14,2,0,2,4,1,0,7,16,0,1,1,.237,.324,.373,.697
Cavan Biggio,TOR,17,53,10,10,1,0,3,7,2,0,12,20,0,0,0,.189,.338,.377,.715
Erik Gonzalez,PIT,16,51,2,11,2,1,0,2,3,0,6,13,2,0,0,.216,.298,.294,.592
Thairo Estrada,NYY,25,50,10,14,3,0,3,11,2,0,3,14,1,0,0,.280,.321,.520,.841
Tyler Wade,NYY,20,49,8,10,0,0,0,5,5,0,7,18,2,0,1,.204,.316,.204,.520
Phil Gosselin,PHI,32,49,3,12,3,0,0,6,0,0,1,10,0,0,0,.245,.260,.306,.566
Harold Castro,DET,17,48,1,11,2,0,0,3,1,0,3,12,0,1,0,.229,.269,.271,.540
Alen Hanson,TOR,18,43,5,7,0,0,0,4,1,0,3,17,0,1,1,.163,.229,.163,.392
Sean Rodriguez,PHI,19,42,7,11,3,0,1,5,0,1,4,13,3,0,2,.262,.354,.405,.759
Donovan Solano,SF,17,38,3,10,2,0,0,5,0,0,2,7,0,1,0,.263,.293,.316,.609
Jack Mayfield,HOU,14,38,5,5,4,0,1,3,0,0,1,8,0,0,0,.132,.154,.316,.470
Josh VanMeter,CIN,25,36,2,7,2,0,0,3,1,0,6,12,0,0,1,.194,.326,.250,.576
Brad Miller,CLE,13,36,4,9,3,0,1,4,1,0,4,10,0,0,0,.250,.325,.417,.742
Max Moroff,CLE,20,32,3,4,1,0,1,4,1,0,2,16,1,0,0,.125,.176,.250,.426
Joey Wendle,TB,10,30,0,4,1,0,0,2,0,0,0,8,0,0,3,.133,.212,.167,.379
Pat Valaika,COL,17,29,3,2,1,0,0,0,0,0,4,15,0,0,0,.069,.182,.103,.285
Luis Urias,SD,11,24,2,2,1,0,0,0,0,0,4,11,0,0,1,.083,.241,.125,.366
Luis Arraez,MIN,10,24,6,9,2,0,1,3,1,0,5,1,0,1,0,.375,.467,.583,1.050
Jake Elmore,PIT,11,20,0,1,0,0,0,0,0,0,0,3,0,0,0,.050,.050,.050,.100
Dustin Pedroia,BOS,6,20,1,2,0,0,0,1,0,0,1,2,0,0,0,.100,.143,.100,.243
Marco Hernandez,BOS,8,19,1,5,3,0,0,3,0,0,0,7,0,0,0,.263,.263,.421,.684
